id,imagem,url
124,Hitra.png,img/bandeiras/Hitra.png
125,Hmong.png,img/bandeiras/Hmong.png
126,Honduras.png,img/bandeiras/Honduras.png
127,Iceland.png,img/bandeiras/Iceland.png
128,India.png,img/bandeiras/India.png
129,Indonésia.png,img/bandeiras/Indonésia.png
130,Iran.png,img/bandeiras/Iran.png
131,Iraq.png,img/bandeiras/Iraq.png
132,Iraqi Kurdistan.png,img/bandeiras/Iraqi Kurdistan.png
133,Isle of Man.png,img/bandeiras/Isle of Man.png
134,Isle of Wight.png,img/bandeiras/Isle of Wight.png
135,Israel.png,img/bandeiras/Israel.png
136,Itália.png,img/bandeiras/Itália.png
137,Ivory Coast.png,img/bandeiras/Ivory Coast.png
138,Jamaica.png,img/bandeiras/Jamaica.png
139,Japão.png,img/bandeiras/Japão.png
140,Jordan.png,img/bandeiras/Jordan.png
141,Kabylia.png,img/bandeiras/Kabylia.png
142,Kazakhstan.png,img/bandeiras/Kazakhstan.png
143,Kenia.png,img/bandeiras/Kenia.png
144,Kernow.png,img/bandeiras/Kernow.png
145,Kiribati.png,img/bandeiras/Kiribati.png
146,Kosovo.png,img/bandeiras/Kosovo.png
147,Kuwait.png,img/bandeiras/Kuwait.png
148,Kyrgyzstan.png,img/bandeiras/Kyrgyzstan.png
149,Kárpátalja.png,img/bandeiras/Kárpátalja.png
150,Laos.png,img/bandeiras/Laos.png
151,Latvia.png,img/bandeiras/Latvia.png
152,Lebanon.png,img/bandeiras/Lebanon.png
153,Lesotho.png,img/bandeiras/Lesotho.png
154,Liberia.png,img/bandeiras/Liberia.png
155,Libya.png,img/bandeiras/Libya.png
156,Liechtenstein.png,img/bandeiras/Liechtenstein.png
157,Lituânia.png,img/bandeiras/Lituânia.png
158,Luhansk PR.png,img/bandeiras/Luhansk PR.png
159,Luxemburgo.png,img/bandeiras/Luxemburgo.png
160,Macau.png,img/bandeiras/Macau.png
161,Madagascar.png,img/bandeiras/Madagascar.png
162,Madrid.png,img/bandeiras/Madrid.png
163,Malawi.png,img/bandeiras/Malawi.png
164,Malaya.png,img/bandeiras/Malaya.png
165,Maldives.png,img/bandeiras/Maldives.png
166,Mali.png,img/bandeiras/Mali.png
167,Malta.png,img/bandeiras/Malta.png
168,Manchukuo.png,img/bandeiras/Manchukuo.png
169,Mapuche.png,img/bandeiras/Mapuche.png
170,Martinique.png,img/bandeiras/Martinique.png
171,Matabeleland.png,img/bandeiras/Matabeleland.png
172,Maule Sur.png,img/bandeiras/Maule Sur.png
173,Mauritania.png,img/bandeiras/Mauritania.png
174,Mauritius.png,img/bandeiras/Mauritius.png
175,Mayotte.png,img/bandeiras/Mayotte.png
176,Menorca.png,img/bandeiras/Menorca.png
177,Micronesia.png,img/bandeiras/Micronesia.png
178,Moldova.png,img/bandeiras/Moldova.png
179,Monaco.png,img/bandeiras/Monaco.png
180,Mongolia.png,img/bandeiras/Mongolia.png
181,Montenegro.png,img/bandeiras/Montenegro.png
182,Montserrat.png,img/bandeiras/Montserrat.png
183,Morocco.png,img/bandeiras/Morocco.png
184,Mozambique.png,img/bandeiras/Mozambique.png
185,Myanmar.png,img/bandeiras/Myanmar.png
186,México.png,img/bandeiras/México.png
187,Namibia.png,img/bandeiras/Namibia.png
188,Nepal.png,img/bandeiras/Nepal.png
189,New Caledonia.png,img/bandeiras/New Caledonia.png
190,New Zeland.png,img/bandeiras/New Zeland.png
191,Nicaragua.png,img/bandeiras/Nicaragua.png
192,Niger.png,img/bandeiras/Niger.png
193,Nigeria.png,img/bandeiras/Nigeria.png
194,Niue.png,img/bandeiras/Niue.png
195,North Korea.png,img/bandeiras/North Korea.png
196,North Macedonia.png,img/bandeiras/North Macedonia.png
197,North Vietnam.png,img/bandeiras/North Vietnam.png
198,Northern Cyprus.png,img/bandeiras/Northern Cyprus.png
199,Northern Mariana Islands.png,img/bandeiras/Northern Mariana Islands.png
200,Noruéga.png,img/bandeiras/Noruéga.png
201,Occitania.png,img/bandeiras/Occitania.png
202,Oman.png,img/bandeiras/Oman.png
203,Orkney.png,img/bandeiras/Orkney.png
204,Padania.png,img/bandeiras/Padania.png
205,Palau.png,img/bandeiras/Palau.png
206,Palestine.png,img/bandeiras/Palestine.png
207,Panama.png,img/bandeiras/Panama.png
208,Panjab.png,img/bandeiras/Panjab.png
209,Papua New Guinea.png,img/bandeiras/Papua New Guinea.png
210,Paraguay.png,img/bandeiras/Paraguay.png
211,Parishes of Jersey.png,img/bandeiras/Parishes of Jersey.png
212,País Basco.png,img/bandeiras/País Basco.png
213,Peru.png,img/bandeiras/Peru.png
214,Polônia.png,img/bandeiras/Polônia.png
215,Portugal.png,img/bandeiras/Portugal.png
216,Provence.png,img/bandeiras/Provence.png
217,Puerto Rico.png,img/bandeiras/Puerto Rico.png
218,Qatar.png,img/bandeiras/Qatar.png
219,Raetia.png,img/bandeiras/Raetia.png
220,Republic of St. Pauli.png,img/bandeiras/Republic of St. Pauli.png
221,Republica da Irlanda.png,img/bandeiras/Republica da Irlanda.png
222,Rhodes.png,img/bandeiras/Rhodes.png
223,Romani people.png,img/bandeiras/Romani people.png
224,Rwanda.png,img/bandeiras/Rwanda.png
225,Ryūkyū.png,img/bandeiras/Ryūkyū.png
226,Réunion.png,img/bandeiras/Réunion.png
227,Rússia.png,img/bandeiras/Rússia.png
228,Saare County.png,img/bandeiras/Saare County.png
229,Saarland.png,img/bandeiras/Saarland.png
230,Saint Barthélemy.png,img/bandeiras/Saint Barthélemy.png
231,Saint Helena.png,img/bandeiras/Saint Helena.png
232,Saint Kitts and Nevis.png,img/bandeiras/Saint Kitts and Nevis.png
233,Saint Lucia.png,img/bandeiras/Saint Lucia.png
234,Saint Pierre and Miquelon.png,img/bandeiras/Saint Pierre and Miquelon.png
235,Saint Vincent and the Grenadines.png,img/bandeiras/Saint Vincent and the Grenadines.png
236,Samoa.png,img/bandeiras/Samoa.png
237,San Marino.png,img/bandeiras/San Marino.png
238,Sark.png,img/bandeiras/Sark.png
239,Saudi Arabia.png,img/bandeiras/Saudi Arabia.png
240,Saugeais.png,img/bandeiras/Saugeais.png
241,Scothland.png,img/bandeiras/Scothland.png
242,Sealand.png,img/bandeiras/Sealand.png
243,Seborga.png,img/bandeiras/Seborga.png
244,Senegal.png,img/bandeiras/Senegal.png
245,Serbia.png,img/bandeiras/Serbia.png
